emp_no,first_name,last_name,title,from_date,to_date,dept_name
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,1999-01-01,Quality Management
10494,Yakkov,Servieres,Engineer,1991-12-18,2000-12-17,Production
10494,Yakkov,Servieres,Senior Engineer,2000-12-17,1999-01-01,Production
10504,Xiong,Varker,Staff,1999-10-19,1999-01-01,Sales
10512,Udi,Gihr,Senior Staff,1998-11-28,1999-01-01,Human Resources
10512,Udi,Gihr,Staff,1989-11-28,1998-11-28,Human Resources
10522,Marke,Cesareni,Senior Staff,1995-12-12,1999-01-01,Human Resources
10522,Marke,Cesareni,Staff,1986-12-12,1995-12-12,Human Resources
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,1999-01-01,Sales
10548,Ramalingam,Gunderson,Staff,1986-07-04,1993-07-04,Sales
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,1999-01-01,Marketing
10548,Ramalingam,Gunderson,Staff,1986-07-04,1993-07-04,Marketing
10564,Jianhao,Thisen,Engineer,1995-11-23,2000-11-22,Production
10564,Jianhao,Thisen,Senior Engineer,2000-11-22,1999-01-01,Production
10623,Aleksander,Danlos,Engineer,1992-01-15,1999-01-15,Research
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,1999-01-01,Research
10623,Aleksander,Danlos,Engineer,1992-01-15,1999-01-15,Development
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,1999-01-01,Development
10628,Krisda,Krogh,Assistant Engineer,1987-03-14,1994-03-14,Development
10628,Krisda,Krogh,Engineer,1994-03-14,2001-03-14,Development
10628,Krisda,Krogh,Senior Engineer,2001-03-14,1999-01-01,Development
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18,1999-01-01,Development
10642,Hirochika,Narlikar,Engineer,1998-10-05,1999-01-01,Development
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,1999-01-01,Development
10671,Parviz,Rebaine,Senior Staff,2001-09-13,1999-01-01,Human Resources
10671,Parviz,Rebaine,Staff,1995-09-14,2001-09-13,Human Resources
10676,Valeri,Danley,Engineer,1999-09-04,1999-01-01,Development
10693,Berhard,Daescu,Senior Staff,1991-01-08,1999-01-01,Customer Service
10693,Berhard,Daescu,Staff,1986-01-08,1991-01-08,Customer Service
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,1999-01-01,Development
10718,Adib,Rullman,Engineer,1988-07-21,1997-07-21,Development
10718,Adib,Rullman,Senior Engineer,1997-07-21,1999-01-01,Development
10726,Zita,Minakawa,Engineer,1992-02-25,2001-02-24,Development
10726,Zita,Minakawa,Senior Engineer,2001-02-24,1999-01-01,Development
10734,Sachar,Erdi,Engineer,1995-12-19,1999-01-01,Production
10745,Poorav,Ranze,Engineer,1988-01-23,1997-01-22,Production
10745,Poorav,Ranze,Senior Engineer,1997-01-22,1999-01-01,Production
10749,King,Brendel,Engineer,1985-09-26,1990-09-26,Production
10749,King,Brendel,Senior Engineer,1990-09-26,1999-01-01,Production
10767,Monique,Doering,Staff,1997-07-15,1999-01-01,Sales
10768,Ishfaq,Candan,Engineer,1985-07-04,1990-07-04,Production
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,1999-01-01,Production
10778,Selwyn,Merey,Senior Staff,1986-07-04,1999-01-01,Marketing
10791,Tadahiko,Sgarro,Engineer,1988-07-30,1995-07-31,Development
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31,1999-01-01,Development
10795,Supot,Naudin,Senior Staff,1999-05-03,1999-01-01,Sales
10795,Supot,Naudin,Staff,1993-05-03,1999-05-03,Sales
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,1999-01-01,Development
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,1999-01-01,Production
10836,Jianhua,Leivant,Senior Staff,1987-08-10,1999-01-01,Customer Service
10836,Jianhua,Leivant,Senior Staff,1987-08-10,1999-01-01,Sales
10844,Dipayan,Koprowski,Engineer,1997-04-25,1999-01-01,Development
10847,Theirry,Danley,Senior Staff,1992-07-24,1999-01-01,Research
10847,Theirry,Danley,Staff,1986-07-25,1992-07-24,Research
10848,Fen,Bratsberg,Engineer,1985-04-20,1992-04-20,Production
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,1999-01-01,Production
10878,Lakshmi,Deville,Staff,1997-04-25,1999-01-01,Sales
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,1999-01-01,Development
10883,Shimshon,Champarnaud,Engineer,1996-12-28,1999-01-01,Production
10909,Georgi,Atchley,Engineer,1993-12-26,2000-12-26,Development
10909,Georgi,Atchley,Senior Engineer,2000-12-26,1999-01-01,Development
10921,Mara,Bahi,Engineer,1986-07-27,1995-07-27,Production
10921,Mara,Bahi,Senior Engineer,1995-07-27,1999-01-01,Production
10924,Hironoby,Atchley,Senior Staff,1997-08-14,1999-01-01,Sales
10924,Hironoby,Atchley,Staff,1988-08-14,1997-08-14,Sales
10927,Gal,Scallan,Senior Staff,1993-09-12,1999-01-01,Marketing
10927,Gal,Scallan,Staff,1986-09-12,1993-09-12,Marketing
10936,Mountaz,Schicker,Senior Staff,1996-05-08,1999-01-01,Human Resources
10936,Mountaz,Schicker,Staff,1990-05-09,1996-05-08,Human Resources
10943,Berna,Skafidas,Engineer,1993-05-22,1999-05-22,Development
10943,Berna,Skafidas,Senior Engineer,1999-05-22,1999-01-01,Development
10965,Eckart,Braunschweig,Senior Staff,1986-07-29,1999-01-01,Sales
10969,Premal,Noriega,Senior Engineer,1994-05-12,1999-01-01,Development
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,1999-01-01,Development
10986,Masako,Schiper,Technique Leader,1985-10-11,1999-01-01,Development
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,1999-01-01,Development
10989,Sumali,Candan,Senior Staff,1991-07-20,1999-01-01,Finance
10989,Sumali,Candan,Staff,1985-07-20,1991-07-20,Finance
10990,Shin,Foote,Technique Leader,1990-08-06,1999-01-01,Development
11009,Alper,Axelband,Senior Staff,1993-09-09,1999-01-01,Sales
11009,Alper,Axelband,Staff,1986-09-09,1993-09-09,Sales
11012,Taegyun,Speckmann,Staff,1996-07-06,1999-01-01,Customer Service
11012,Taegyun,Speckmann,Staff,1996-07-06,1999-01-01,Marketing
11019,Leon,Huttel,Engineer,1992-05-24,1997-05-24,Development
11019,Leon,Huttel,Senior Engineer,1997-05-24,1999-01-01,Development
11021,Srinidhi,Henders,Staff,1998-02-02,1999-01-01,Research
11027,Remzi,Cappello,Assistant Engineer,1986-05-07,1991-05-07,Production
11027,Remzi,Cappello,Engineer,1991-05-07,1996-05-06,Production
11027,Remzi,Cappello,Senior Engineer,1996-05-06,1999-01-01,Production
11031,Ottavia,Walstra,Senior Staff,1993-10-24,1999-01-01,Marketing
11031,Ottavia,Walstra,Staff,1985-10-24,1993-10-24,Marketing
11037,Lansing,Maliniak,Engineer,1988-01-28,1995-01-28,Production
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,1999-01-01,Production
11038,Jinya,Beidas,Senior Staff,1992-07-15,1999-01-01,Research
11038,Jinya,Beidas,Staff,1985-07-15,1992-07-15,Research
11042,Gou,Breugel,Engineer,1993-06-21,2000-06-21,Development
11042,Gou,Breugel,Senior Engineer,2000-06-21,1999-01-01,Development
11048,Jaques,Demke,Senior Staff,1999-05-27,1999-01-01,Sales
11050,Elvis,Katiyar,Senior Staff,1991-05-06,1999-01-01,Marketing
11050,Elvis,Katiyar,Staff,1986-05-06,1991-05-06,Marketing
11051,Przemyslawa,Erol,Engineer,1991-03-27,2000-03-26,Production
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,1999-01-01,Production
11070,Adib,Raney,Engineer,1985-07-24,1991-07-24,Quality Management
11070,Adib,Raney,Senior Engineer,1991-07-24,1999-01-01,Quality Management
11081,Barry,Boyle,Senior Staff,1994-06-17,1999-01-01,Finance
11081,Barry,Boyle,Staff,1985-06-17,1994-06-17,Finance
11085,Hailing,Thummel,Senior Engineer,1996-02-10,1999-01-01,Production
11100,Berna,Cochrane,Senior Staff,1993-10-13,1999-01-01,Research
11100,Berna,Cochrane,Staff,1986-10-13,1993-10-13,Research
11106,Aris,Iwayama,Assistant Engineer,1985-08-31,1991-08-31,Development
11106,Aris,Iwayama,Engineer,1991-08-31,1997-08-30,Development
11106,Aris,Iwayama,Senior Engineer,1997-08-30,1999-01-01,Development
11112,Boaz,Mukaidono,Staff,1995-04-28,1999-01-01,Customer Service
11113,Shahab,Peng,Senior Staff,1991-11-30,1999-01-01,Marketing
11113,Shahab,Peng,Staff,1985-11-30,1991-11-30,Marketing
11121,Vugranam,Kakkad,Engineer,1992-10-31,1999-11-01,Development
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01,1999-01-01,Development
11133,Nalini,Azulay,Technique Leader,1994-03-06,1999-01-01,Quality Management
11134,Sachar,Rajcani,Engineer,1993-05-19,2002-05-19,Quality Management
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,1999-01-01,Quality Management
11137,Hugh,Luca,Engineer,1995-03-16,1999-01-01,Development
11139,Bogdan,Homond,Senior Staff,1995-05-11,1999-01-01,Customer Service
11139,Bogdan,Homond,Staff,1990-05-11,1995-05-11,Customer Service
11146,Ishfaq,Masand,Senior Staff,1997-08-21,1999-01-01,Sales
11146,Ishfaq,Masand,Staff,1991-08-22,1997-08-21,Sales
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,1999-01-01,Human Resources
11148,Zhanqiu,Botman,Staff,1990-02-08,1997-02-08,Human Resources
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,1999-01-01,Finance
11148,Zhanqiu,Botman,Staff,1990-02-08,1997-02-08,Finance
11162,Kauko,Narlikar,Engineer,1985-03-28,1990-03-28,Development
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,1999-01-01,Development
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,1992-06-10,Development
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,1999-01-01,Development
11197,Tadahiro,Fordan,Senior Staff,1989-09-12,1999-01-01,Sales
11204,Diederik,Covnot,Technique Leader,1985-09-18,1999-01-01,Production
11207,Saeed,Gips,Engineer,1999-01-31,1999-01-01,Development
11208,Saniya,Valtorta,Technique Leader,1994-11-17,1999-01-01,Production
11211,Yurij,Rissland,Senior Engineer,1985-09-17,1999-01-01,Production
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,1999-01-01,Production
11232,Hidefumi,Crelier,Senior Staff,2000-08-01,1999-01-01,Customer Service
11232,Hidefumi,Crelier,Staff,1994-08-02,2000-08-01,Customer Service
11240,Kiam,Condotta,Assistant Engineer,1989-01-06,1997-01-06,Development
11240,Kiam,Condotta,Engineer,1997-01-06,1999-01-01,Development
11249,Randi,Cyre,Assistant Engineer,1986-09-22,1994-09-22,Development
11249,Randi,Cyre,Engineer,1994-09-22,1999-01-01,Development
11251,Bezalel,Chinal,Senior Staff,1993-06-15,1999-01-01,Marketing
11251,Bezalel,Chinal,Staff,1986-06-15,1993-06-15,Marketing
11268,Aimee,Petersohn,Engineer,1987-10-25,1995-10-25,Production
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,1999-01-01,Production
11275,Hitomi,Eppinger,Engineer,1989-04-25,1998-04-25,Development
11275,Hitomi,Eppinger,Senior Engineer,1998-04-25,1999-01-01,Development
11290,Visit,Dredge,Engineer,1999-05-13,1999-01-01,Development
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,1999-01-01,Finance
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,1990-05-15,Finance
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,1999-01-01,Development
11320,Atilio,McAlpine,Senior Staff,1998-04-06,1999-01-01,Marketing
11320,Atilio,McAlpine,Staff,1990-04-06,1998-04-06,Marketing
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,1992-07-07,Quality Management
11322,Nathalie,Pocchiola,Engineer,1992-07-07,1999-07-08,Quality Management
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,1999-01-01,Quality Management
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,1999-01-01,Production
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,1999-01-01,Sales
11339,Flemming,Massonet,Senior Engineer,1989-12-19,1999-01-01,Production
11347,Anneli,Jonsson,Engineer,1986-04-20,1992-04-19,Development
11347,Anneli,Jonsson,Senior Engineer,1992-04-19,1999-01-01,Development
11365,Toshimi,Shinomoto,Engineer,1997-12-18,1999-01-01,Production
11376,Valery,Suomi,Senior Staff,1994-03-14,1999-01-01,Research
11376,Valery,Suomi,Staff,1986-03-14,1994-03-14,Research
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,1996-04-18,Development
11380,Kenroku,Pelc,Engineer,1996-04-18,2001-04-18,Development
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,1999-01-01,Development
11385,Shiv,Ullian,Engineer,1999-08-08,1999-01-01,Production
11386,Alselm,Assaf,Engineer,1987-11-30,1993-11-29,Quality Management
11386,Alselm,Assaf,Senior Engineer,1993-11-29,1999-01-01,Quality Management
11393,Junsik,Junot,Engineer,1985-04-30,1992-04-30,Production
11393,Junsik,Junot,Senior Engineer,1992-04-30,1999-01-01,Production
11398,Oscar,Peir,Senior Staff,2001-09-07,1999-01-01,Finance
11398,Oscar,Peir,Staff,1994-09-07,2001-09-07,Finance
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,1999-01-01,Development
11415,Sanjiv,Anido,Engineer,1996-12-07,1999-01-01,Production
11421,Josyula,Msuda,Engineer,1986-09-02,1995-09-02,Production
11421,Josyula,Msuda,Senior Engineer,1995-09-02,1999-01-01,Production
11441,Marlo,Aingworth,Senior Staff,1987-03-27,1999-01-01,Sales
11449,Kotesh,Asser,Engineer,1995-02-03,2000-02-03,Production
11449,Kotesh,Asser,Senior Engineer,2000-02-03,1999-01-01,Production
11459,Duke,Suomi,Senior Staff,1992-05-02,1999-01-01,Human Resources
11459,Duke,Suomi,Staff,1986-05-03,1992-05-02,Human Resources
11469,Guttorm,Giaccio,Engineer,1994-09-08,1999-09-08,Production
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,1999-01-01,Production
11506,Rance,Picel,Staff,1996-04-08,1999-01-01,Sales
11509,Aleksander,Feldhoffer,Engineer,1987-11-12,1992-11-11,Development
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,1999-01-01,Development
11513,Otmar,Mahnke,Senior Staff,1998-08-25,1999-01-01,Finance
11513,Otmar,Mahnke,Staff,1992-08-25,1998-08-25,Finance
11515,Ulf,Basawa,Staff,1998-09-21,1999-01-01,Sales
11518,Jinxi,Oxman,Senior Staff,1999-09-22,1999-01-01,Human Resources
11518,Jinxi,Oxman,Staff,1994-09-22,1999-09-22,Human Resources
11524,Xiadong,Standera,Senior Engineer,1996-07-05,1999-01-01,Development
11527,Alagu,Boyle,Staff,1999-01-28,1999-01-01,Marketing
11528,Zito,Dolinsky,Technique Leader,1987-06-15,1999-01-01,Production
11537,DAIDA,Pehl,Senior Staff,1986-07-06,1999-01-01,Sales
11554,Subhash,Taubenfeld,Staff,1998-07-15,1999-01-01,Human Resources
11554,Subhash,Taubenfeld,Staff,1998-07-15,1999-01-01,Marketing
11555,Kotesh,Perfilyeva,Senior Staff,1991-10-14,1999-01-01,Human Resources
11555,Kotesh,Perfilyeva,Staff,1986-10-14,1991-10-14,Human Resources
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03,1999-01-01,Sales
11567,Teiji,Mitzlaff,Staff,1988-02-03,1996-02-03,Sales
11568,Martins,Fujisaki,Engineer,1992-03-13,2000-03-13,Development
11568,Martins,Fujisaki,Senior Engineer,2000-03-13,1999-01-01,Development
11603,Herb,Swen,Senior Staff,1994-04-13,1999-01-01,Finance
11603,Herb,Swen,Staff,1985-04-13,1994-04-13,Finance
11607,Tomokazu,Foong,Engineer,1995-04-19,1999-01-01,Production
11615,Shem,Isaak,Senior Staff,2000-08-28,1999-01-01,Sales
11615,Shem,Isaak,Staff,1991-08-29,2000-08-28,Sales
11624,Adil,Gammage,Engineer,1989-07-15,1996-07-15,Production
11624,Adil,Gammage,Senior Engineer,1996-07-15,1999-01-01,Production
11628,Fan,Malinowski,Engineer,1988-10-23,1997-10-23,Research
11628,Fan,Malinowski,Senior Engineer,1997-10-23,1999-01-01,Research
11628,Fan,Malinowski,Engineer,1988-10-23,1997-10-23,Development
11628,Fan,Malinowski,Senior Engineer,1997-10-23,1999-01-01,Development
11640,Valeri,Coorg,Senior Engineer,1988-09-26,1999-01-01,Development
11647,Magy,Nitsche,Engineer,1988-05-11,1993-05-11,Development
11647,Magy,Nitsche,Senior Engineer,1993-05-11,1999-01-01,Development
11660,Gill,Stenning,Senior Staff,1994-11-22,1999-01-01,Sales
11660,Gill,Stenning,Staff,1986-11-22,1994-11-22,Sales
11673,Henk,Felder,Technique Leader,1989-06-10,1999-01-01,Production
11676,Valeri,Ferriere,Engineer,1998-07-15,1999-01-01,Production
11681,Fumitake,Benzmuller,Engineer,1988-08-27,1995-08-28,Production
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,1999-01-01,Production
11684,Oksana,Gide,Senior Staff,1995-02-21,1999-01-01,Marketing
11684,Oksana,Gide,Staff,1986-02-21,1995-02-21,Marketing
11696,Dante,Rothe,Senior Staff,1994-10-23,1999-01-01,Sales
11696,Dante,Rothe,Staff,1985-10-23,1994-10-23,Sales
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,1999-01-01,Customer Service
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,1999-01-01,Production
11735,Amalendu,Picci,Senior Staff,1997-07-14,1999-01-01,Customer Service
11735,Amalendu,Picci,Staff,1988-07-14,1997-07-14,Customer Service
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,1999-01-01,Sales
11746,Koichi,Marrakchi,Staff,1988-11-17,1995-11-18,Sales
11751,Jiafu,Emiris,Senior Staff,1993-11-03,1999-01-01,Research
11751,Jiafu,Emiris,Staff,1988-11-03,1993-11-03,Research
11764,Sanjay,Anick,Engineer,1991-12-16,1996-12-15,Production
11764,Sanjay,Anick,Senior Engineer,1996-12-15,1999-01-01,Production
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,1999-01-01,Research
11769,Chandrasekaran,Lampe,Staff,1993-10-22,2001-10-22,Research
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,1999-01-01,Development
11769,Chandrasekaran,Lampe,Staff,1993-10-22,2001-10-22,Development
11772,Gaurav,Penz,Engineer,1999-11-07,1999-01-01,Development
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,1999-01-01,Sales
11797,Chenxi,Thambidurai,Staff,1988-08-30,1996-08-30,Sales
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,1999-01-01,Marketing
11797,Chenxi,Thambidurai,Staff,1988-08-30,1996-08-30,Marketing
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,1999-01-01,Development
11817,Niranjan,Markovitch,Senior Staff,1993-04-12,1999-01-01,Sales
11817,Niranjan,Markovitch,Staff,1986-04-12,1993-04-12,Sales
11832,Arto,Zlotek,Engineer,1996-02-04,1999-01-01,Development
11844,Shawna,Demeyer,Engineer,1988-01-27,1995-01-27,Development
11844,Shawna,Demeyer,Senior Engineer,1995-01-27,1999-01-01,Development
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,1999-01-01,Marketing
11853,Zeljko,Kusakabe,Staff,1988-11-17,1996-11-17,Marketing
11857,Divier,Farrag,Senior Staff,1986-08-27,1999-01-01,Sales
11864,Pradeep,Kriebel,Staff,1995-11-02,1999-01-01,Customer Service
11871,Nalini,Sommen,Engineer,1993-10-13,1998-10-13,Development
11871,Nalini,Sommen,Senior Engineer,1998-10-13,1999-01-01,Development
11872,Cheong,Riexinger,Senior Staff,2002-02-12,1999-01-01,Marketing
11872,Cheong,Riexinger,Staff,1994-02-12,2002-02-12,Marketing
11894,Mitchel,Validov,Senior Engineer,1988-06-22,1999-01-01,Development
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,1999-01-01,Sales
11897,Cordelia,Setlzner,Staff,1988-06-16,1997-06-16,Sales
11906,Hideo,Boguraev,Engineer,1999-02-07,1999-01-01,Development
11915,Miomir,Mawatari,Engineer,1992-06-28,2001-06-28,Production
11915,Miomir,Mawatari,Senior Engineer,2001-06-28,1999-01-01,Production
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,1999-01-01,Research
11931,Gunilla,Chiodo,Staff,1991-01-13,2000-01-13,Research
11933,Basil,Erman,Engineer,1987-06-13,1992-06-12,Development
11933,Basil,Erman,Senior Engineer,1992-06-12,1999-01-01,Development
11949,Martijn,Harbusch,Technique Leader,1985-03-11,1999-01-01,Production
11983,Jaana,Hedayat,Engineer,1986-10-11,1994-10-11,Development
11983,Jaana,Hedayat,Senior Engineer,1994-10-11,1999-01-01,Development
11993,Marit,Dalphin,Senior Staff,1996-10-22,1999-01-01,Human Resources
12011,Zhilian,Coorg,Senior Staff,1997-07-22,1999-01-01,Sales
12011,Zhilian,Coorg,Staff,1988-07-22,1997-07-22,Sales
12036,Mads,Ratzlaff,Senior Staff,1995-09-05,1999-01-01,Sales
